

"TABLE H-1. Selected Characteristics of households, by Total Money Income in 1996 (Numbers in thousands)"
,Total,"Under $2,500","$2,500 to $4,999","$5,000 to $7,499","$7,500 to $9,999","$10,0- 00 to $12,4- 99","$12,5- 00 to $14,9- 99","$15,0- 00 to $17,4- 99","$17,5- 00 to $19,9- 99","$20,0- 00 to $22,4- 99","$22,5- 00 to $24,9- 99","$25,0- 00 to $27,4- 99","$27,5- 00 to $29,9- 99","$30,0- 00 to $32,4- 99","$32,5- 00 to $34,9- 99"
All households,101018,1737,1691,4225,4227,4415,4243,4120,3748,4071,3570,4030,3216,3785,2777
Type of Residence
Inside metro. areas,80950,1406,1287,3088,3221,3297,3128,3115,2856,3103,2681,3053,2395,2971,2158
Inside central cities,31347,771,782,1810,1638,1645,1380,1367,1301,1334,1183,1291,1000,1189,818
One million or more,19934,545,521,1194,1111,1035,859,843,763,859,737,796,663,696,506
Under one million,11413,227,262,615,526,610,521,524,538,475,446,495,337,493,312
Outside central cities,49603,635,505,1278,1583,1652,1748,1749,1555,1769,1499,1762,1395,1782,1340
One million or more,33825,422,337,787,997,1046,1131,1082,937,1146,993,1061,905,1133,885
Under one million,15778,213,168,491,587,606,617,666,618,623,506,701,490,649,455
Outside metro. areas,20068,331,404,1137,1006,1118,1115,1004,891,968,889,977,821,814,619
Region
Northeast,19724,338,368,918,851,844,767,673,652,768,596,752,577,627,537
Midwest,23972,293,349,894,935,952,1020,971,876,979,874,963,790,899,683
South,35693,697,707,1669,1530,1689,1599,1588,1435,1498,1351,1535,1143,1449,1038
West,21629,409,267,745,911,930,857,888,784,825,749,781,705,810,520
Race and Hispanic Origin
of Householder
White,85059,1154,1090,3051,3280,3575,3405,3418,3095,3371,2970,3353,2789,3169,2349
Black,12109,464,526,1005,799,682,716,584,531,564,465,536,328,506,308
Hispanic,8225,203,218,550,444,532,448,525,389,451,365,371,288,350,221
Type of Household
Family households,70241,832,898,1564,1576,2035,2119,2344,2269,2476,2318,2626,2230,2582,2010
Married-couple families,53604,366,235,473,562,1044,1207,1441,1404,1659,1575,1870,1617,1875,1459
"Male householder, nsp",3847,44,28,98,125,166,122,176,158,170,162,174,165,181,119
"Female householder, nsp",12790,422,635,992,890,825,790,727,707,648,581,582,447,525,433
Nonfamily households,30777,905,793,2661,2651,2380,2124,1775,1479,1595,1252,1404,986,1203,767
Male householder,13707,351,203,744,769,745,788,663,612,738,580,729,504,697,385
Living alone,10442,310,194,681,710,651,687,558,533,601,476,611,370,535,261
Female householder,17070,554,590,1917,1881,1635,1336,1113,867,857,673,675,483,506,382
Living alone,14961,542,569,1876,1847,1585,1249,1032,791,725,605,566,402,454,316
Age of Householder
Under 65 years,79610,1431,1296,2550,2124,2611,2433,2534,2432,2935,2592,3097,2463,3054,2243
15 to 24 years,5160,180,246,398,300,335,301,367,269,322,263,241,216,250,157
25 to 34 years,19314,369,346,538,537,674,671,689,647,843,760,1012,664,1026,620
35 to 44 years,23823,302,307,586,515,665,574,680,645,823,640,888,725,864,696
45 to 54 years,18843,269,205,500,380,454,396,424,468,500,502,527,469,552,465
55 to 64 years,12469,310,192,528,391,483,492,374,402,446,427,428,389,363,304
65 years and over,21408,306,395,1674,2102,1804,1810,1586,1316,1136,978,933,753,731,535
65 to 74 years,11679,161,174,675,883,803,831,836,642,618,596,539,472,414,375
75 years and over,9729,145,222,999,1219,1001,979,750,674,518,382,394,281,317,160

"TABLE H-1. Selected Characteristics of households, by Total Money Income in 1996 (Numbers in thousands)"
,"$35,0- 00 to $37,4- 99","$37,5- 00 to $39,9- 99","$40,0- 00 to $42,4- 99","$42,5- 00 to $44,9- 99","$45,0- 00 to $47,4- 99","$47,5- 00 to $49,9- 99","$50,0- 00 to $52,4- 99","$52,5- 00 to $54,9- 99","$55,0- 00 to $57,4- 99","$57,5- 00 to $59,9- 99","$60,0- 00 to $62,4- 99","$62,5- 00 to $64,9- 99","$65,0- 00 to $67,4- 99","$67,5- 00 to $69,9- 99","$70,0- 00 to $72,4- 99"
All households,3325,2588,3206,2526,2721,2099,2707,2084,2148,1824,2176,1547,1713,1281,1533
Type of Residence
Inside metro. areas,2599,2068,2579,2016,2175,1672,2258,1724,1746,1491,1784,1285,1442,1079,1343
Inside central cities,960,752,955,698,784,533,696,534,548,450,624,373,435,344,384
One million or more,615,440,598,399,489,315,446,343,346,280,403,248,267,235,235
