
"HINC-01. Selected Characteristics of Households, by Total Money Income in 2007"



,Total,"Under $2,500","$2,500 to $4,999","$5,000 to $7,499","$7,500 to $9,999","$10,000 to $12,499","$12,500 to $14,999","$15,000 to $17,499","$17,500 to $19,999","$20,000 to $22,499","$22,500 to $24,999","$25,000 to $27,499"
All Races,,,,,,,,,,,,
All Households,"116,783","2,420",993,"1,868","3,174","3,565","3,486","3,753","2,974","3,731","3,070","3,728"
TYPE OF RESIDENCE,,,,,,,,,,,,
Inside metro statistical areas,"97,591","2,018",789,"1,444","2,439","2,801","2,699","3,016","2,340","3,020","2,376","3,057"
Inside principal cities,"39,072","1,096",420,760,"1,264","1,424","1,282","1,404","1,068","1,476",944,"1,356"
Outside principal cities,"58,520",922,368,684,"1,175","1,376","1,417","1,612","1,273","1,544","1,432","1,701"
Outside metro statistical areas 5/,"19,192",402,205,424,735,765,786,737,634,711,694,671
REGION/DIVISIONS,,,,,,,,,,,,
Northeast,"21,351",481,214,346,695,637,666,674,474,646,507,608
New England,"5,576",91,44,71,186,154,159,133,129,166,118,153
Middle Atlantic,"15,774",391,170,275,508,483,507,540,345,480,389,455
Midwest,"26,266",475,236,408,602,766,740,866,687,852,697,868
East North Central,"18,130",358,174,307,425,527,529,580,465,594,481,571
West North Central,"8,136",117,62,101,178,239,211,286,222,258,216,297
South,"43,062",930,358,791,"1,329","1,369","1,463","1,428","1,217","1,456","1,254","1,475"
South Atlantic,"23,060",473,179,375,619,698,754,697,605,693,636,738
East South Central,"7,159",185,65,197,279,242,254,271,237,267,241,285
West South Central,"12,844",273,114,219,431,429,455,459,375,496,377,452
West,"26,105",533,185,323,547,793,617,786,596,777,611,776
Mountain,"8,298",189,66,110,173,231,206,228,209,237,216,268
Pacific,"17,807",344,119,213,375,562,411,558,387,539,395,509
TYPE OF HOUSEHOLD,,,,,,,,,,,,
Family households,"77,873",999,481,695,909,"1,224","1,241","1,624","1,496","1,933","1,719","2,109"
Married-couple families,"58,370",408,118,215,313,462,550,782,861,"1,167","1,035","1,334"
"Male householder, nsp","5,100",75,35,60,72,124,119,128,112,160,121,165
"Female householder, nsp","14,404",516,328,420,524,638,571,714,523,606,563,610
Nonfamily households,"38,910","1,421",512,"1,173","2,265","2,341","2,245","2,129","1,478","1,799","1,351","1,619"
Male householder,"17,872",629,214,425,659,784,669,808,506,722,552,767
