
"HINC-01. Selected Characteristics of Households, by Total Money Income in 2009"

"For information on confidentiality protection, sampling error, nonsampling error, and definitions, see www.census.gov/apsd/techdoc/cps/cpsmar10.pdf [http://www.census.gov/apsd/techdoc/cps/cpsmar10.pdf] [PDF]."
"Source: U.S. Census Bureau, Current Population Survey, 2010 Annual Social and Economic Supplement."
"(Numbers in thousands. Households as of March of the following year. A.O.I.C. stands for alone or in combination. Median income and Gini indexes are calculated using $2,500 income intervals. Beginning with 2009 income data, the Census Bureau expanded the income intervals used to calculate medians and Ginis to $250,000 or more. Medians falling in the upper open-ended interval are plugged with $250,000. Before 2009, the upper open-ended interval was $100,000 and a plug of $100,000 was used)"

,Total,"Under $5,000","$5,000 to $9,999","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $54,999"
All Races,,,,,,,,,,,,
All Households,"117,538","3,747","4,823","6,759","6,924","7,099","6,633","6,370","6,033","5,680","4,894","5,147"
TYPE OF RESIDENCE,,,,,,,,,,,,
Inside metro statistical areas,"98,379","3,110","3,764","5,347","5,490","5,661","5,347","5,150","4,970","4,665","4,039","4,240"
Inside principal cities,"38,850","1,612","1,931","2,547","2,502","2,532","2,299","2,217","1,989","1,836","1,648","1,697"
Outside principal cities,"59,529","1,498","1,833","2,800","2,987","3,129","3,048","2,933","2,981","2,829","2,390","2,543"
Outside metro statistical areas (4),"19,159",636,"1,059","1,412","1,434","1,437","1,286","1,220","1,063","1,015",855,907
REGION/DIVISIONS,,,,,,,,,,,,
Northeast,"21,479",710,832,"1,191","1,132","1,112","1,211","1,053","1,029",952,826,966
New England,"5,756",158,192,304,300,282,301,234,268,241,196,265
Middle Atlantic,"15,723",552,640,887,833,831,910,819,761,711,630,701
Midwest,"26,390",807,"1,032","1,434","1,580","1,746","1,611","1,445","1,375","1,207","1,185","1,165"
East North Central,"18,215",627,713,980,"1,095","1,219","1,086","1,020",982,814,834,807
West North Central,"8,175",180,319,454,485,527,525,425,393,393,352,359
South,"43,611","1,458","2,042","2,735","2,864","2,793","2,496","2,542","2,368","2,255","1,853","1,875"
South Atlantic,"23,281",802,976,"1,325","1,491","1,445","1,291","1,368","1,214","1,222",969,"1,044"
East South Central,"7,180",248,423,566,546,506,482,411,411,366,319,283
West South Central,"13,150",408,643,844,827,842,722,763,744,667,565,548
West,"26,058",771,916,"1,399","1,348","1,448","1,314","1,330","1,261","1,267","1,029","1,140"
Mountain,"8,305",296,342,451,472,440,428,440,400,453,386,431
Pacific,"17,753",475,574,948,876,"1,007",885,890,861,814,644,709
TYPE OF HOUSEHOLD,,,,,,,,,,,,
Family households,"78,833","1,687","1,771","2,573","3,162","3,806","3,906","3,889","3,901","3,679","3,301","3,547"
